SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
RJ;Alto patrimônio - imobiliário + societário com societário e financeiro;103;21;0.20388349514563106;1432;116;0.08100558659217877;2.5169065952460663;12.287790855345229;0.07192737430167598;0.1810344827586207;1636501.43
MG;Patrimônio médio-alto - veicular diversificado;25;5;0.2;1668;133;0.07973621103117506;2.5082706766917293;12.026378896882495;0.01498800959232614;0.03759398496240601;430000.0
PA;Alto patrimônio - imobiliário + societário com societário e financeiro;44;11;0.25;556;58;0.10431654676258993;2.396551724137931;14.568345323741006;0.07913669064748201;0.1896551724137931;1266378.88
SP;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;73;11;0.1506849315068493;2528;160;0.06329113924050633;2.380821917808219;8.739379226634297;0.028876582278481014;0.06875;509518.88
SP;Alto patrimônio - imobiliário + societário com societário e financeiro;200;30;0.15;2528;160;0.06329113924050633;2.3699999999999997;8.670886075949365;0.07911392405063292;0.1875;1583311.75
MA;Alto patrimônio - imobiliário + societário com societário e financeiro;27;7;0.25925925925925924;575;63;0.10956521739130434;2.366255144032922;14.96940418679549;0.04695652173913043;0.1111111111111111;2010087.55
DF;Alto patrimônio - imobiliário + financeiro;31;4;0.12903225806451613;606;34;0.056105610561056105;2.299810246679317;7.2926647503460025;0.05115511551155116;0.11764705882352941;1302975.54
RS;Alto patrimônio - imobiliário + financeiro;43;9;0.20930232558139536;975;90;0.09230769230769231;2.2674418604651163;11.699463327370305;0.0441025641025641;0.1;1243858.7
SP;Patrimônio médio-alto - veicular diversificado;49;7;0.14285714285714285;2528;160;0.06329113924050633;2.2571428571428567;7.956600361663652;0.019382911392405063;0.04375;400314.87
PR;Alto patrimônio - imobiliário + financeiro;49;8;0.16326530612244897;1154;86;0.07452339688041594;2.190792596108211;8.874190924203303;0.04246100519930676;0.09302325581395349;1314498.81
RS;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;25;5;0.2;975;90;0.09230769230769231;2.1666666666666665;10.76923076923077;0.02564102564102564;0.05555555555555555;191171.75
MG;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;58;10;0.1724137931034483;1668;133;0.07973621103117506;2.1623023074928702;9.267758207227322;0.03477218225419664;0.07518796992481203;466486.735
SP;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;135;18;0.13333333333333333;2528;160;0.06329113924050633;2.1066666666666665;7.0042194092827;0.053401898734177215;0.1125;472376.83
CE;Alto patrimônio - imobiliário + financeiro;25;6;0.24;611;71;0.11620294599018004;2.0653521126760563;12.379705400981996;0.04091653027823241;0.08450704225352113;1017229.46
PR;Patrimônio médio-alto - rural/agropecuário + imobiliário;26;4;0.15384615384615385;1154;86;0.07452339688041594;2.0644007155635067;7.932275696573791;0.022530329289428077;0.046511627906976744;481094.55500000005
DF;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;45;5;0.1111111111111111;606;34;0.056105610561056105;1.980392156862745;5.5005500550055;0.07425742574257425;0.14705882352941177;1220000.0
ES;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;25;4;0.16;481;39;0.08108108108108109;1.9733333333333332;7.891891891891892;0.05197505197505198;0.10256410256410256;503839.67
MG;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;46;7;0.15217391304347827;1668;133;0.07973621103117506;1.908466819221968;7.243770201230321;0.027577937649880094;0.05263157894736842;504214.86
MG;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;40;6;0.15;1668;133;0.07973621103117506;1.8812030075187969;7.026378896882493;0.023980815347721823;0.045112781954887216;1697879.7400000002
SC;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;29;4;0.13793103448275862;752;56;0.07446808510638298;1.8522167487684729;6.346294937637564;0.03856382978723404;0.07142857142857142;528585.0599999999
PR;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;29;4;0.13793103448275862;1154;86;0.07452339688041594;1.8508420208500402;6.3407637602342675;0.02512998266897747;0.046511627906976744;460253.64
SP;Patrimônio médio-alto - rural/agropecuário + imobiliário;26;3;0.11538461538461539;2528;160;0.06329113924050633;1.823076923076923;5.209347614410905;0.010284810126582278;0.01875;445860.925
RJ;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;28;4;0.14285714285714285;1432;116;0.08100558659217877;1.7635467980295565;6.1851556264964085;0.019553072625698324;0.034482758620689655;476650.79000000004
RS;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;25;4;0.16;975;90;0.09230769230769231;1.7333333333333332;6.769230769230769;0.02564102564102564;0.044444444444444446;482936.68
GO;Alto patrimônio - imobiliário + societário com societário e financeiro;45;6;0.13333333333333333;766;60;0.0783289817232376;1.702222222222222;5.500435161009573;0.0587467362924282;0.1;1522704.82
MG;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;46;6;0.13043478260869565;1668;133;0.07973621103117506;1.6358287021902582;5.069857157752058;0.027577937649880094;0.045112781954887216;1401000.0
MA;Alto patrimônio - imobiliário + rural/agropecuário;28;5;0.17857142857142858;575;63;0.10956521739130434;1.6298185941043084;6.900621118012423;0.04869565217391304;0.07936507936507936;1508750.0
GO;Alto patrimônio - imobiliário + rural/agropecuário;47;6;0.1276595744680851;766;60;0.0783289817232376;1.629787234042553;4.93305927448475;0.06135770234986945;0.1;1380000.0
SP;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;49;5;0.10204081632653061;2528;160;0.06329113924050633;1.6122448979591837;3.874967708602428;0.019382911392405063;0.03125;1819848.24
PR;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;25;3;0.12;1154;86;0.07452339688041594;1.610232558139535;4.547660311958405;0.021663778162911613;0.03488372093023256;1886825.14
SE;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;25;4;0.16;322;32;0.09937888198757763;1.61;6.062111801242237;0.07763975155279502;0.125;456000.0
SP;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;80;8;0.1;2528;160;0.06329113924050633;1.58;3.670886075949367;0.03164556962025317;0.05;1241606.825
